abaixar, Lower
abalroar, Bang
abonar, Good
absolutizar, Absolutizar
acarear, Va salir
acidentar, Accident
acostar, Berth
acrescer, Mark
actuar, Act
aculturar, Aculturar
adestrar, Training
advir, Result
aerar, Aerar
aflorar, Touch
aforrar, Savers scrimp
africanizar, Africanizar
agasalhar, Warm
agremiar, Shore
agudizar, Intensify
alfabetizar, Aiphabetize
alhear, Security
alinhavar, Basting
alvoroçar, Lie
amalgamar, Amalgamate
ambicionar, Ambition
ambientar, Acclimated
amostrar, Sample
amotinar, A mutiny.
anodizar, Anodizar
anticoagular, Anticoagulate
antiglobalizar, Antiglobalizar
antologizar, Antologizar
anuir, Agree
apegar, I
apropriar, Appropriate
arabizar, Arabise
arborizar, Afforested
arcabuzar, Arcabuzar
armamentar, His
arpoar, Harpoon
arredondar, Round
arreliar, Tease
arrochar, Told
arroubar, Arroubar
arrufar, Arrufar
arrulhar, COOlNG
artificializar, Artificializar
assertir, Assertir
assessorar, Advise
asseverar, Assure
atilar, Atilar
atritar, You'll run into
autocorrelacionar, Autocorrelacionar
autodeterminar, Determination
autonomizar, Separate
autuar, Prerform
averiguar, I
bambolear, Waddlin
banalizar, Norm
bancar, Play
beligerar, Beligerar
bipolarizar, Bipolarizar
bofetar, Bofetar
bonificar, Bonificar
brocar, RATting
brutalizar, Brutify
bulhar, Bulhar
burocratizar, Bureaucratise
cadastrar, Enlist
calendarizar, Sustained
campear, Campear
cancerizar, Cancerizar
canibalizar, Cannibalize
cantonizar, Cantonizar
capitular, Yield
cardar, Cardar
carnavalizar, Carnavalizar
cartelizar, Cartelizar
catalisar, Catalyze
catalizar, Harnessing
cesurar, Cesurar
chancelar, Renminbi
chanfrar, Chamfering
chulear, Chulear
chumbar, Fail
circunscrever, Circumscribe
cismar, I
climatizar, Climatizar
clivar, Cleave
coagir, Coerce
coagir/coar, Coerce strain /
cogenerar, Cogenerar
colectivizar, Colectivizar
coletivizar, Me
coligar, Merging
coludir, Coludir
combustir, Combustir
comerciar, Trade
compactar, Package
compartir, Share
complexar, Complex
comunhar, Saboteur
comunitarizar, Communitise
conceitualizar, Conceptualize
conceituar, Re-conceptualize
conceptualizar, Conceptualize
conchavar, Conchavar
concursar, Concursar
concutir, Concutir
condecorar, Medal
condicionar, Conditionalize
conflitar, Conflict
confluir, Together
congestionar, Congest
congratular, Welcome
congregar, Together
conjugar, Conjugate
consciencializar, Aware
conscientizar, Awareness
conseguir?, Get it ?
consensualizar, Consensus
consoar, Consoar
constringir, Constricting
contabilizar, Account
contemporizar, Pierre
contender, You
contextualizar, Contextualize
contra-indicar, To indicate
contratualizar, Contratualizar
cooptar, Co-opt
coproduzir, Secured
corporativizar, Corporativizar
corporizar, ,
corresponsabilizar, Corresponsabilizar
cotejar, Government
cotizar, A
credibilizar, Credibility
culpabilizar, Blame
customizar, Customizing
danar, Fuck
decalcar, Impose
decentralizar, Decentralizar
decodificar, Decoding
decolar, Off
dedilhar, Strummin
defasar, Skew
defluir, Defluir
defumar, Hotbox
degelar, Thaw
degolar, Perseguire
delapidar, He
delongar, Go
demonizar, Caricaturize
depletir, Depletir
deridir, Deridir
derrocar, Overthrow
derrogar, Depart
desabonar, Discredit
desactualizar, Render
desagregar, Disaggregate
desajustar, Megatriangulate
desalavancar, Deleverage
desalinhar, Misalign
desandar, Split
desapegar, Go
desapropriar, Evict
desautorizar, Deauthorize
desbancar, Blow
desbarrancar, Offthe
desbridar, Débride
desburocratizar, It
descapitalizar, To de-capitalise
descaracterizar, Unmark
descompensar, Decompensate
desconstitucionalizar, Desconstitucionalizar
desconstruir, Unbuild
descontentar, Disappointing
descontextualizar, Separate
desconverter, Desconverter
descredibilizar, Discredit
descriminalizar, Decriminalise
desculpabilizar, Blame
desdramatizar, Drama
desembaciar, Desembaciar
desembargar, Seals
desembocar, Debouch
desempatar, Ties
desempenhar, Play
desempregar, Unemployed
desencaixar, Disengage
desencalhar, Gone
desencontrar, You
desenganar, Disabuse
desenlaçar, Riff
desentupir, Snake
desertificar, Semimountainous
desestatizar, Desestatizar
desestruturar, Down
desfalcar, Chip
desfragmentar, Defragment
desgovernamentalizar, Desgovernamentalizar
desgovernar, Fragile
desideologizar, Desideologizar
desincompatibilizar, Desincompatibilizar
desindexar, Desindexar
desindustrializar, De-industrialise
desinfestar, Desinfestar
desinformar, Disinformation
desinstalar, Uninstall
desinvestir, CANTV
deslocalizar, Relocating
desmandar, No
desmatar, Cut
desmilitarizar, De-militarise
desminar, ,
desmotivar, That
desnacionalizar, De-nationalise
desnaturar, Denaturating
desnuclearizar, De-nuclearise
desnutrir, Desnutrir
desolar, Destroy
despartidarizar, Despartidarizar
despeitar, Spite
despenalizar, Decriminalize
despersonalizar, Depersonalize
despistar, Lose
despolitizar, De-politicise
despoluir, It
despromover, So
desquitar, Desquitar
desratizar, Rats
desresponsabilizar, Responsibility
dessecar, Dewater
destabilizar, Destabilizing
destemperar, Destemperar
desterritorializar, Desterritorializar
desumidificar, Dehumidifying
devassar, Restraint
devotar, Devote
diabolizar, Demonizing
dialisar, Treatment
difrair, Difrair
digitar, Enter
disatisfazer, Disatisfazer
discrepar, I
discriminalizar, Discriminalizar
disjungir, Disjungir
disparatar, Rave
disponibilizar, Make
dissaborear, Dissaborear
dissertar, Elaborate
distar, Mm.
doirar, Doirar
dolarizar, Dollarize
doutorar, Dr.
doutrinar, Indoctrinate
driblar, Dribble
editorar, Edit
efervescer, Effervesce
elitizar, Elite
eluir, Elute
embater, Strike
embocar, Ambushed
embolar, Gonnajam
empresarializar, Empresarializar
empunhar, Wield
enaltecer, Praise
encanar, Book
encepar, Encepar
encurvar, Bending
endividar, Debt
enfartar, Barf
enfocar, Focus
engatar, Gear
enrascar, I
ensear, Ensear
ensejar, Ensejar
entonar, Entonar
entronizar, Entronizar
entulhar, Cluttering
envergar, Rip
equidistar, Equidistar
escolarizar, Scholarization
escrevinhar, Scratching
esfacelar, GCC
esforçar, Try
esmerar, Yeah,
espacializar, Espacializar
espanar, Dust
espasmar, Espasmar
espectacularizar, Espectacularizar
espetar, Stick
espoliar, Plunder
esquemar, Esquemar
esquematizar, Scheme
estadualizar, But
estagiar, Internship
estandardizar, Standardising
estetizar, Estetizar
estoriar, Estoriar
estrategizar, You
estratificar, Stratifying
estucar, Estucar
estupefar, Zach
estuporar, Stun
eucaliptizar, Eucaliptizar
eutrofizar, Eutrofizar
excisar, Raskin
exemplificar, Example
exorbitar, Pieces
expectar, Expectar
expiar, May
explanar, Explain
extratar, Extratar
extrudir, Extrudir
fadigar, Fadigar
favelizar, Favelizar
federalizar, I
federar, Federating
feminizar, Feminization
fender, Fender
fetichizar, Fetichizar
ficcionalizar, Ficcionalizar
fidelizar, Loyalty
filar, I
flexibilizar, Easing
florar, Piano
florear, Michelle
florestar, Afforest
fluorar, Fluorodating
folgar, Yiffing
formar, Form
fosfatar, Fosfatar
fosforescer, Fosforescer
fraccionar, So
fracionar, Fracionar
fracturar, Fracture
fragilizar, Weaken
franquear, Frank
frasear, Phrase
freiar, Brake
frutificar, Fecund
fujimorizar, Fujimorizar
fulanizar, Fulanizar
funcionalizar, Funcionalizar
geminar, Geminar
geometrizar, Geometrizar
germanizar, Germanizar
gestar, Carry
gladiar, Gladiar
globalizar, Globalise
golear, Golear
governamentalizar, Governmentalise
gripar, Cold
guetizar, Guetizar
hegemonizar, Hegemonizar
hidrogenar, Hidrogenar
hierarquizar, Hierarchize
higienizar, I
historiar, Historiar
homogeneizar, HOMOGENIZE
ideologizar, Ideologize
igualizar, We
ilegalizar, Outlaw
imperar, Prevail
implementar, Implement
inadequar, Inadequar
inanir, Inanir
incrementar, Increase
indagar, I
indefinir, Undefine
indeterminar, Indeterminar
indiciar, I
indisciplinar, Undisciplined
inexistir, ,
infantilizar, Juvenilizing
inflacionar, Inflation
inflexionar, Inflexionar
informalizar, Informalizar
informatizar, Cybernetting
infortunar, Infortunar
ingerir, Eat
ingressar, Join
injungir, Injungir
inobservar, Inobservar
inoperar, Inoperar
inquirir, Question
insatisfazer, Displease
insonorizar, They are
instrumentalizar, Instrumentalize
instrumentar, Instrumenting
insubordinar, I
intelectualizar, Power
interpelar, I
interrelacionar, Interrelacionar
intuir, Intuit
inviabilizar, Derail
involuir, Devolve
isentar, Exempt
italianizar, Italianizar
iterar, Iterate
jactar, Jactar
judicar, Judicar
judicializar, Judicializar
laborar, Equally
labutar, By
laicizar, Laicizar
lampejar, Lampejar
lanchar, Snack
laquear, Japanning
lesionar, Injured
libanizar, Libanizar
licitar, Bid
lisonjear, Butter
litoralizar, Litoralizar
lixiviar, Lixiviar
locar, Rent
locomover, Around
madrugar, Early
magistrar, I
magnetizar, Magnetize
magnificar, And
mandingar, Mandingar
manufacturar, Manufacture
maravilhar, Wow
mariscar, Clamming
massificar, Murthy
maturar, Grow up
maxidesvalorizar, Maxidesvalorizar
maçar, Case
mecanizar, Mechanizing
mediatizar, Hand
mendicar, Mendicar
mentalizar, Realize
mercantilizar, Commoditise
merendar, Tea
metaforizar, Bluff
mexicanizar, Mexicanizar
militarizar, Militarizing
miniaturizar, Miniature
miscigenar, Mongrelizing
modelizar, Modelled
mofar, Sit
monetizar, Monetize
monitorizar, Monitor
monotorizar, Airbase.
moralizar, Moralizes
motorizar, Motorizar
multiplexar, Multiplex
mundializar, Globalise
municiar, Bullets
municipalizar, Timescale
munir, Possession
musealizar, Musealizar
naturalizar, I
necrosar, Necrose
noivar, Fiancés
nominar, Don
normalizar, Normalize
normatizar, Standardize
objetar, Louis
objetivar, Target
obsessar, Obsessar
obstinar, I
obturar, Anraise
ocidentalizar, Westernizes
ofertar, I
operacionalizar, Iine
ossificar, MAUREEN :
ovular, Ovular
ozonizar, Ozonizar
pacientar, Pacientar
paletar, Paletar
panificar, Panificar
parlamentarizar, Parliamentarisation
partidarizar, Partidarizar
pastorear, You
pauperizar, Pauperizar
pedonizar, Pedonizar
performar, Issues
periferizar, Periferizar
periodizar, Periodizar
pernoitar, Overnight
peroxidar, Peroxidar
pessoalizar, Pessoalizar
pichar, Graffiti
plastificar, Plastimise
polimerizar, Polymerizing
polinizar, Poiiinate
politicar, Politicsat
pontapear, Kick
porrar, Smudging
possibilitar, Enable
precarizar, Worsening
predar, Preying
pressurizar, Dj
prestigiar, Sid
principiar, Begin
problematizar, ,
profissionalizar, Pro
proletarizar, Proletarizar
propalar, Float
propelir, Propelir
propugnar, Support
prorrogar, Extend
prosar, Prosar
prospectar, Latin
protagonizar, Star
pré-qualificar, Pré-qualificar
quedar, Down
quitar, Square
quotizar, Voluntary
racionar, Ration
radicalizar, To
radiopasteurizar, Radiopasteurizar
rajar, Rajar
rapar, Shave
rarear, Receding
rastrear, Track
reabsorver, Reduce
reactar, Reactar
reactualizar, Update
reafectar, Reallocation
realimentar, Reingest
realojar, To
reapreciar, Rethink
reaproximar, Closer
rearborizar, Rearborizar
rearmar, Rearm
rebater, Hit
recalcar, Inside
recapitalizar, Recapitalises
recatar, Recatar
recensear, An
receptar, Fence
recoletar, Re
recolocar, Replace
recolonizar, Recolonize
recombinar, Re-mix
recompor, Together
reconduzir, Redrive
reconfigurar, Reset
recontextualizar, Recontextualize
recriminar, I
recristalizar, Recrystallising
redemocratizar, Redemocratizar
redesenvolver, Reauthor
redinamizar, Overhaul
reeducar, Retape
reelaborar, Reworking
reelevar, Reelevar
reembarcar, ?
reequilibrar, Re-equilibrated
reescalonar, That
reflorestar, Wood
refluir, ,
reformatar, Reformat
refratar, Refract
refregar, Refregar
refundar, Peru
regionalizar, Regionalise
regorjear, Regorjear
regozijar, Welcome
reinserir, Reinsert
reinterpretar, Spin
reinvestir, Reinvest
reinvidicar, I
reinvindicar, Claim
relampejar, Flash
relocalizar, Relocate
relocar, Relocate
remasterizar, Re-master
rematar, Kicker
remexer, Dig
remonetizar, Remonetizar
renacionalizar, Renationalizing
renascer, Reborn
renaturalizar, Renaturalizar
rendibilizar, Rendibilizar
rentabilizar, Profitable
reoperar, Reoperar
repagar, Repay
reprivatizar, Reprivatize
reputar, I
requalificar, Re-Qualify
requebrar, Sway
resenhar, ,
resentir, Resent
resguardar, Safe
respaldar, Back
respingar, Splash
responsabilizar, Responsibility
ressalvar, I
ressegurar, Reassure
ressocializar, Rehabilitate
retaliar, Retaliate
retorquir, Round
reurbanizar, Reurbanizar
revidar, Fight
revitalizar, Revive
revoar, Flitting
rifar, Raffle
ritualizar, Ritualizing
robotizar, Lobotomize
rumar, Head
sacolejar, Tonking
sacralizar, Sanctify
salinizar, Salinizar
sanear, Tidy up
sapatear, Tap
saracotear, That
seccionar, Gangrened
secretar, Surge
secretariar, Is
secularizar, Secularizing
secundarizar, Second
securitizar, Securitizar
sedar, Sedate
sedentarizar, Sedentarizar
sedimentar, Sedimentary
semaforizar, Semaforizar
semiprofissionalizar, Semiprofissionalizar
seriar, Seriar
sindicalizar, Syndicate
sistematizar, Systemize
sobrar, Left
sobreconsumir, Sobreconsumir
sobredeterminar, Sobredeterminar
sobreinvestir, Sobreinvestir
sobrepagar, Sobrepagar
sobrevalorizar, Overestimate
sociabilizar, Definitely
socializar, Socialise
solfejar, I
sonegar, Dodge
sonorizar, Sync
sortir, Treatment could start
sponsorizar, Sponsorizar
standardizar, Standardizar
stressar, Stress
subalternizar, Relegates
subelevar, Subelevar
subjetivar, Subjetivar
subnotificar, Subnotificar
subproduzir, Subproduzir
subutilizar, Underutilize
suicidar, Suicide
superlotar, Overflowing
superpor, Superimpose
superqualificar, Superqualificar
sustar, I
tacar, I
talonar, Talonar
teatralizar, Teatralizar
teimar, Persist
telecomandar, Telecomandar
telegramar, Telegramar
tematizar, Focusing
temporizar, Time
terciarizar, Terciarizar
territorializar, Regionalizing
tintar, Tintar
toar, Trill
tonsurar, Tonsurar
toucar, Toucar
traccionar, Tow
transacionar, Transact
transfigurar, Transfigure
transfuse, Transfuse
transitar, Transit
translocar, Translocate
transnacionalizar, Transnacionalizar
transumar, Transumar
traumatizar, Traumatise
trejeitar, Trejeitar
tremelicar, Twitch
treplicar, Treplicar
trespassar, Trespass
trivializar, Trivialize
trombar, Bump
trovar, Trovar
troçar, Fun
tumultuar, Disruption
uniformizar, Uniform
universalizar, Universal
urvizar, Urvizar
valorar, Value
vampirizar, Vamp
vascularizar, Vascularizar
vasodilatar, Vasodilatar
vedar, Recaulk
veicular, Vehicular
verear, Verear
verticalizar, Verticalizar
viabilizar, Possible
viger, Viger
vindimar, Vindimar
vulgarizar, Vulgarize
wikificar, Wikificar
